rate,directors,casts,star,cover,id,url,title
8.7,"[""陈可辛""]","[""黎明"",""张曼玉"",""杨恭如"",""曾志伟"",""杜可风""]",45,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2223011274.jpg,1305164,https://movie.douban.com/subject/1305164/,甜蜜蜜
9.1,"[""姜文""]","[""姜文"",""香川照之"",""袁丁"",""姜宏波"",""陈强""]",45,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p1181775734.jpg,1291858,https://movie.douban.com/subject/1291858/,鬼子来了
8.3,"[""大卫·林奇""]","[""娜奥米·沃茨"",""劳拉·哈灵"",""安·米勒"",""贾斯汀·塞洛克斯"",""斯科特·科菲""]",45,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p792248233.jpg,1292217,https://movie.douban.com/subject/1292217/,穆赫兰道
9.2,"[""黄东赫""]","[""孔侑"",""郑有美"",""金志英"",""金贤秀"",""郑仁絮""]",45,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p1363250216.jpg,5912992,https://movie.douban.com/subject/5912992/,熔炉
7.5,"[""魏德圣""]","[""范逸臣"",""田中千绘"",""中孝介"",""林宗仁"",""马念先""]",40,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p506963235.jpg,3158990,https://movie.douban.com/subject/3158990/,海角七号
8.5,"[""肖央""]","[""肖央"",""王太利"",""韩秋池"",""于蓓蓓""]",45,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2377941764.jpg,5344178,https://movie.douban.com/subject/5344178/,11度青春之《老男孩》
8.7,"[""高畑勋""]","[""辰己努"",""白石绫乃"",""志乃原良子"",""山口朱美"",""端田宏三""]",45,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p1157334208.jpg,1293318,https://movie.douban.com/subject/1293318/,萤火虫之墓
8.7,"[""温子仁""]","[""雷·沃纳尔"",""加利·艾尔维斯"",""丹尼·格洛弗"",""莫妮卡·波特"",""迪娜·迈耶""]",45,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2163771304.jpg,1417598,https://movie.douban.com/subject/1417598/,电锯惊魂
8.6,"[""达米恩·查泽雷""]","[""迈尔斯·特勒"",""J·K·西蒙斯"",""保罗·雷瑟"",""梅莉莎·班诺伊"",""奥斯汀·斯托维尔""]",45,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2220776342.jpg,25773932,https://movie.douban.com/subject/25773932/,爆裂鼓手
8.4,"[""宫崎骏""]","[""高山南"",""佐久间玲"",""山口胜平"",""户田惠子"",""信泽三惠子""]",45,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p456676352.jpg,1307811,https://movie.douban.com/subject/1307811/,魔女宅急便
8.0,"[""刘伟强""]","[""全智贤"",""郑雨盛"",""李成宰"",""姜大卫"",""林迪安""]",40,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p479188725.jpg,1433360,https://movie.douban.com/subject/1433360/,雏菊
7.7,"[""李力持"",""周星驰""]","[""周星驰"",""莫文蔚"",""刘以达"",""吴孟达"",""薛家燕""]",40,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2208185679.jpg,1293351,https://movie.douban.com/subject/1293351/,食神
8.6,"[""奉俊昊""]","[""宋康昊"",""金相庆"",""金雷河"",""宋在浩"",""朴努植""]",45,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p480225538.jpg,1300299,https://movie.douban.com/subject/1300299/,杀人回忆
8.4,"[""斯坦利·库布里克""]","[""马尔科姆·麦克道威尔"",""帕特里克·马基"",""迈克尔·贝茨"",""沃伦·克拉克"",""约翰·克莱夫""]",45,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p529908155.jpg,1292233,https://movie.douban.com/subject/1292233/,发条橙
9.0,"[""李安""]","[""吴倩莲"",""杨贵媚"",""王渝文"",""郎雄"",""张艾嘉""]",45,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p1910899751.jpg,1291818,https://movie.douban.com/subject/1291818/,饮食男女
